time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec), avg_lat(ms)
465,3.2,6442.785,1005.207,1743.371,4816.122,9350.537,15914.835,16902.443,16902.443,16902.443,0,,,
470,3.4,6246.367,1029.801,5267.611,5760.453,7782.064,9435.992,15117.097,15117.097,15117.097,0,,,
475,3.8,4425.102,1006.647,1784.805,4164.196,7314.485,8434.022,10529.585,10529.585,10529.585,0,,,
480,3.8,5173.173,1038.855,1734.683,4199.291,9126.703,9980.124,10162.339,10162.339,10162.339,0,,,
485,3.6,5242.181,1005.547,1779.681,5761.848,7981.54,10052.465,10129.295,10129.295,10129.295,0,,,
490,4.2,5131.05,1005.615,1793.693,5035.409,7145.915,10865.405,11113.033,11179.464,11179.464,0,,,
495,3.6,5260.278,1005.211,3788.656,5709.324,8057.072,8925.471,8944.662,8944.662,8944.662,0,,,
500,3.4,5038.19,1786.263,4356.654,4716.446,5416.385,7839.447,8022.875,8022.875,8022.875,0,,,
505,4.8,3750.141,1005.002,1736.162,4140.342,5881.996,6220.767,6428.736,6895.214,6895.214,0,,,
510,4.8,5649.579,1000.06,4264.564,4992.472,8599.028,9920.849,11400.189,12834.766,12834.766,0,,,
515,4.6,4209.023,1005.649,1626.676,5277.141,5752.804,7824.347,8475.628,9919.559,9919.559,0,,,
520,4.2,4093.351,1004.991,3639.963,4131.386,5192.654,6109.794,6189.389,6744.313,6744.313,0,,,
525,4.8,4814.024,1004.361,3710.374,5061.042,6323.763,7942.331,8318.71,8678.632,8678.632,0,,,
530,3.6,5799.162,1003.908,3724.084,5209.386,8359.901,9754.878,12169.912,12169.912,12169.912,0,,,
535,3.2,4979.289,1727.519,3824.544,5495.168,6271.51,8076.983,10165.937,10165.937,10165.937,0,,,
540,4.6,4178.418,1484.883,3522.342,4208.195,4718.106,5712.467,6037.739,8351.991,8351.991,0,,,
545,4.8,5928.745,1149.229,3656.695,5911.553,7950.919,11118.57,11150.172,14686.848,14686.848,0,,,
550,3,5269.965,1018.755,1584.717,4850.892,8638.004,10053.529,12916.433,12916.433,12916.433,0,,,
555,4.2,4702.19,1004.687,1718.848,5296.041,6381.883,8395.668,8857.551,8881.495,8881.495,0,,,
